selected_rank,zero_based_band_index,one_based_band_number,anova_f_score
37,42,43,72094.85386485541
36,41,42,71920.24082156965
38,43,44,70919.908664929
39,44,45,69660.13312356867
40,45,46,68334.90747430897
35,40,41,67600.22379974098
41,46,47,67055.95326549203
42,47,48,65849.59145830719
43,48,49,64573.850885900225
44,49,50,63387.69111957234
45,50,51,62270.107116280844
46,51,52,61492.67178008094
47,52,53,60509.01520753142
48,53,54,59727.56849256437
49,54,55,58928.52898425947
50,55,56,58199.03821715058
51,56,57,57096.413200917494
52,57,58,56242.806909083534
53,58,59,55342.3081764854
54,59,60,54463.3041766369
34,39,40,53622.69178333142
20,23,24,52348.31082083681
19,22,23,52333.50753164864
12,15,16,52126.96031301073
21,24,25,52093.44855918339
11,14,15,51985.22947330903
18,21,22,51916.50906555112
22,25,26,51832.14268550737
10,13,14,51442.34131070741
23,26,27,51377.07589376475
13,16,17,51289.05422290252
9,12,13,51162.83863590501
55,60,61,51140.853789477405
17,20,21,51015.37707061169
24,27,28,50686.29331328266
14,17,18,50364.01738223424
8,11,12,50295.2626647314
16,19,20,50027.30529234235
15,18,19,49859.2895613324
25,28,29,49423.11128688958
7,10,11,49342.17119806216
78,110,111,49064.96174891611
56,61,62,48901.2691160985
79,111,112,48459.02782977435
26,29,30,48389.48663459368
6,9,10,48387.7613662138
80,112,113,48338.928303894616
81,113,114,48245.30433068093
82,114,115,47930.38342375401
68,73,74,47793.12536559105
67,72,73,47694.693068211796
69,74,75,47592.3998931303
66,71,72,47414.56933584011
5,8,9,47254.65431168505
27,30,31,47163.13003085332
83,115,116,47143.277190762856
70,75,76,47104.542084906156
65,70,71,46938.9656504324
84,116,117,46742.38482623261
4,7,8,46616.06855581596
32,35,36,46512.99325611811
77,109,110,46465.490541539184
64,69,70,46350.25028823949
71,76,77,46344.81416410414
85,117,118,46320.200406540986
57,62,63,46285.90397763026
28,31,32,46237.369665890954
29,32,33,45954.939736043685
86,118,119,45808.44766502738
63,68,69,45775.57019329182
62,67,68,45375.22196949749
120,156,157,45340.13532834722
76,108,109,45301.60841332981
87,119,120,45195.24007143728
72,77,78,45139.42122186182
121,157,158,45120.014264563906
122,158,159,45079.6119504316
30,33,34,45064.78348863847
61,66,67,45044.62427617455
59,64,65,45036.83946072725
58,63,64,44947.57417335339
31,34,35,44914.74410605034
60,65,66,44851.91402571831
123,159,160,44835.59098051061
33,36,37,44818.4491922512
3,6,7,44773.45258708742
136,172,173,44673.338838266674
124,160,161,44669.15662546989
135,171,172,44613.44253618436
137,173,174,44556.80098165813
138,174,175,44506.94800235961
132,168,169,44500.369934868824
134,170,171,44484.07090938347
139,175,176,44477.11374913419
129,165,166,44448.61896485496
88,120,121,44440.856380668505
133,169,170,44438.945189598395
131,167,168,44387.91908128424
130,166,167,44387.48117094451
117,152,153,44378.28984878559
126,162,163,44329.90922120595
125,161,162,44329.80815015995
127,163,164,44319.14127789041
128,164,165,44228.10160757079
157,193,194,44168.85703551735
140,176,177,44104.26574636427
155,191,192,44087.26460881094
153,189,190,44073.390380992365
119,155,156,44050.49488196603
147,183,184,44040.74061439804
146,182,183,44028.61752695282
116,151,152,44023.8141668355
148,184,185,44017.45349837201
156,192,193,43950.45443567173
152,188,189,43933.48346560901
158,194,195,43839.77802354604
154,190,191,43829.677868907216
145,181,182,43748.27082304611
141,177,178,43741.086902165254
73,78,79,43716.24787356493
89,121,122,43681.01617205139
151,187,188,43615.3587519747
150,186,187,43454.382565247965
142,178,179,43451.439779392356
144,180,181,43369.51486932319
159,195,196,43344.5651716993
143,179,180,43289.210684812795
160,196,197,43046.677953061575
2,5,6,42996.13686061713
113,145,146,42992.45295145949
90,122,123,42836.08855410388
112,144,145,42666.459385315764
111,143,144,42366.993050446574
91,123,124,42153.9009458047
115,150,151,42082.06048311296
149,185,186,41962.35582072302
110,142,143,41773.57487096996
92,124,125,41202.51150470034
109,141,142,41168.818600493076
74,79,80,41117.53720638104
118,153,154,40721.856317138896
93,125,126,40592.42527694166
108,140,141,40558.80452528978
161,197,198,40325.7458833576
114,146,147,40176.80166058207
107,139,140,40059.61258276079
94,126,127,40036.795097283226
95,127,128,39418.65816633391
106,138,139,39358.90229916278
162,199,200,39255.85985202484
96,128,129,38983.261045706095
105,137,138,38787.431011855086
97,129,130,38593.024352946915
104,136,137,38335.00154731811
98,130,131,38225.82730961268
1,4,5,38009.18612948028
99,131,132,38002.30472494386
103,135,136,37951.72238921964
100,132,133,37813.06916421494
101,133,134,37767.020649872255
102,134,135,37758.69749913311
75,80,81,37080.96586442577
